
Randomize
Data size, 10000, 10000, 30000, 30000, 50000, 50000, 100000, 100000, 300000, 300000, 500000, 500000, 
Resulting statics, Running time, Comparisons, Running time, Comparisons, Running time, Comparisons, Running time, Comparisons, Running time, Comparisons, Running time, Comparisons, 
selection-sort, 0.054, 100009999, 0.476, 900029999, 1.322, 2500049999, 5.282, 10000099999, 47.685, 90000299999, 131.693, 250000499999, 
insertion-sort, 0.04, 50280950, 0.344, 450329878, 1.017, 1250959200, 4.181, 4997856776, 34.716, 44958771698, 92.852, 124763797244, 
bubble-sort, 0.175, 100009999, 1.941, 900029999, 6.154, 2500049999, 26.432, 10000099999, 241.812, 90000299999, 674.625, 250000499999, 
shaker-sort, 0.184, 75598931, 1.684, 676505026, 4.904, 1877010921, 20.27, 7511012956, 185.732, 67419001966, 516.315, 187316990862, 
shell-sort, 0.003, 650495, 0.005, 2251797, 0.01, 4356009, 0.02, 9938806, 0.068, 34050976, 0.115, 64971040, 
heap-sort, 0.002, 637871, 0.007, 2149797, 0.01, 3770946, 0.021, 8043549, 0.072, 26489450, 0.121, 45971174, 
merge-sort, 0.003, 583599, 0.006, 1937113, 0.01, 3382990, 0.021, 7166336, 0.067, 23383805, 0.111, 40382285, 
quick-sort, 0.001, 281157, 0.003, 965024, 0.005, 1693441, 0.009, 3668685, 0.027, 11516208, 0.049, 20301634, 
counting-sort, 0, 60005, 0, 180001, 0.001, 265541, 0.001, 465541, 0.003, 1265541, 0.008, 2065541, 
radix-sort, 0, 90108, 0.003, 330132, 0.003, 550132, 0.007, 1100132, 0.018, 3300132, 0.03, 5500132, 
flash-sort, 0, 99158, 0.001, 297757, 0.001, 490770, 0.002, 914272, 0.01, 2701448, 0.018, 4499611, 

Sorted
Data size, 10000, 10000, 30000, 30000, 50000, 50000, 100000, 100000, 300000, 300000, 500000, 500000, 
Resulting statics, Running time, Comparisons, Running time, Comparisons, Running time, Comparisons, Running time, Comparisons, Running time, Comparisons, Running time, Comparisons, 
selection-sort, 0.054, 100009999, 0.475, 900029999, 1.334, 2500049999, 5.302, 10000099999, 47.719, 90000299999, 132.66, 250000499999, 
insertion-sort, 0, 29998, 0, 89998, 0, 149998, 0, 299998, 0, 899998, 0.001, 1499998, 
bubble-sort, 0.061, 100009999, 0.523, 900029999, 1.46, 2500049999, 5.876, 10000099999, 52.7, 90000299999, 146.549, 250000499999, 
shaker-sort, 0, 39998, 0, 119998, 0, 199998, 0.001, 399998, 0.001, 1199998, 0.001, 1999998, 
shell-sort, 0, 360042, 0.001, 1170050, 0.001, 2100049, 0.004, 4500051, 0.012, 15300061, 0.021, 25500058, 
heap-sort, 0.002, 670329, 0.005, 2236648, 0.008, 3925351, 0.017, 8365080, 0.054, 27413230, 0.101, 47404886, 
merge-sort, 0.001, 475242, 0.004, 1559914, 0.007, 2722826, 0.016, 5745658, 0.044, 18645946, 0.071, 32017850, 
quick-sort, 0, 154959, 0, 501929, 0, 913850, 0.001, 1927691, 0.004, 6058228, 0.008, 10310733, 
counting-sort, 0.001, 60005, 0.001, 180005, 0.001, 300005, 0.001, 600005, 0.003, 1800005, 0.006, 3000005, 
radix-sort, 0.001, 90108, 0.002, 330132, 0.004, 550132, 0.006, 1100132, 0.022, 3900156, 0.037, 6500156, 
flash-sort, 0, 127991, 0, 383991, 0.001, 639991, 0.002, 1279991, 0.005, 3839991, 0.01, 6399991, 


Reversed Sorted
